asin,title,title_length,price,total_images,gallery_video_count,has_video,has_aplus,top_keywords,unique_keyword_count,total_word_count,sentiment_keywords,has_quality_words,has_material_words,has_benefit_words,quantity_sold_365days,classification,sku_type,rating_numeric,reviews_count_numeric
B079YK5HHB,NOVICA Artisan Handmade Onyx Cuff Bracelet Sterling Silver Hinged Balinese Indonesia Leaf Tree Birthstone [6 in L (end to End) x 0.4 in W] ' Talk to Me',28,194,9,0,FALSE,FALSE,"end, novica, artisan, handmade, onyx, cuff, bracelet, sterling, silver, hinged, balinese, indonesia, leaf, tree, birthstone, talk",16,17,"artisan, handmade",TRUE,FALSE,FALSE,2,Jewelry,Basic Item,5,5
B079SPDR9V,NOVICA Artisan Handmade Peridot Dangle Earrings Green Composite Turquoise 925 Silver Sterling Reconstituted India Gemstone Birthstone [1.9 in L x 0.6 in W x 0.2 in D] ' Glittering Green',30,79,9,0,FALSE,FALSE,"green, novica, handmade, peridot, dangle, earrings, composite, turquoise, silver, sterling, neeru, goel, every, her, jewelry, grandmother, artisan, 925, reconstituted, india, gemstone, birthstone, glittering, works, together, talented, artists, artisans, designers, around",81,99,"green, handmade, artisan, stunning, happiness, happy, luxurious, brilliant, passion",TRUE,FALSE,FALSE,3,Jewelry,Basic Item,,
B081TKB6GF,NOVICA Artisan Handmade .925 Sterling Silver Spinner Ring Heart Motif Brass Band Meditation India 'Traveling Hearts',16,49,7,0,FALSE,FALSE,"novica, artisan, handmade, 925, sterling, silver, spinner, ring, heart, motif, brass, band, meditation, india, traveling, hearts",16,16,"artisan, handmade",TRUE,FALSE,FALSE,6,Jewelry,Child,4.2,17
B07KTR9V1L,NOVICA Artisan Handmade Alpaca Cardigan Teal Wool Sweater from Peru Clothing Blue Patterned 'Dreamy Blues',15,159,8,1,TRUE,TRUE,"novica, artisan, handmade, alpaca, cardigan, teal, wool, sweater, peru, clothing, blue, patterned, dreamy, blues",14,14,"artisan, handmade",TRUE,FALSE,FALSE,3,Clothing & Accessories,Child,,
B08NCDPKDW,NOVICA Artisan Handmade Crocheted Poncho Lightweight in Aqua from Bali Acrylic Clothing Turquoise Blue Crochetsolid Indonesia Travel Friendly ' Aqua Sanur Shade',22,38,8,0,FALSE,FALSE,"artisans, novica, world, handmade, crocheted, poncho, bali, happy, customers, create, better, take, time, item, hand, where, love, visit, store, what, when, work, lightweight, aqua, mission, spread, happiness, products, page, future",242,335,"handmade, happy, create, better, love, mission, happiness, unique, help, artisan, improve, impact, dream, stories, respect",TRUE,FALSE,TRUE,1,Clothing & Accessories,Basic Item,,
B003V8T6SA,NOVICA Artisan Handmade Sterling Silver Dangle Earrings Artisan Crafted Filigree Thailand [1.9 in L x 0.7 in W x 0.3 in D] ' Filigree Teardrop',25,79,8,1,TRUE,TRUE,"artisan, filigree, novica, handmade, sterling, silver, dangle, earrings, crafted, thailand, teardrop",11,13,"artisan, handmade, crafted",TRUE,FALSE,FALSE,5,Jewelry,Basic Item,5,1
B072YWMYXZ,NOVICA Artisan Handmade Carnelian Dangle Earrings 925 Silver Bird from Bali Sterling Red Indonesia Flame Nature Floral Birthstone [1.5 in H x 0.7 in W x 0.2 in D] ' Avian Curiosity',32,54,8,1,TRUE,TRUE,"novica, artisan, handmade, carnelian, dangle, earrings, 925, silver, bird, bali, sterling, red, indonesia, flame, nature, floral, birthstone, avian, curiosity",19,19,"artisan, handmade",TRUE,FALSE,FALSE,6,Jewelry,Basic Item,4.8,24
B01D1WCWOU,NOVICA Artisan Handmade Sterling Silver Cuff Bracelet from Bali Indonesia [6 in L (end to End) x 0.4 in W] ' Tulamben Coral',23,159,7,1,TRUE,TRUE,"end, novica, artisan, handmade, sterling, silver, cuff, bracelet, bali, indonesia, tulamben, coral",12,13,"artisan, handmade",TRUE,FALSE,FALSE,3,Jewelry,Basic Item,5,5
B081GC9L3T,NOVICA Artisan Handmade Auto Part Sculpture Recycled of Doctor from Peru Metallic Upcycled Eco Friendly [7.75in H x 3.9in W x 3.1in D] ' House Call',26,87,9,2,TRUE,TRUE,"artisans, novica, world, handmade, parts, auto, doctor, time, item, artisan, recycled, happy, customers, create, better, where, unique, love, visit, store, what, works, making, miguel, mejia, sculpture, peru, house, call, mission",207,309,"handmade, artisan, recycled, happy, create, better, unique, love, mission, happiness, quality, eco, improve, impact, dream",TRUE,TRUE,TRUE,1,Sculpture,Basic Item,5,1
B01NAEGAI2,NOVICA Artisan Handmade Alpaca Blend Gloves in Slate Grey Ivory from Peru Wool Accessories Striped ' Slate Stars',18,44,6,0,FALSE,FALSE,"artisans, novica, world, handmade, love, gloves, slate, happiness, happy, customers, create, better, item, where, soft, visit, store, what, people, alpaca, blend, grey, ivory, peru, wool, striped, mission, spread, products, page",203,292,"handmade, love, happiness, happy, create, better, mission, unique, wonderful, village, artisan, improve, impact, dream, stories",TRUE,FALSE,TRUE,1,Accessories,Basic Item,5,2
B08WHX57FY,NOVICA Artisan Handmade Ceramic Ornaments Colorful Flowers on Orange Dove Pair Mexico Holiday Decor Painted Floral Hacienda Christmas Bird [ 6.5in H x 4.3in W x 3.1in D] ' Orange Doves' Pair,32,94,6,1,TRUE,TRUE,"ceramic, orange, artisan, ornaments, pair, novica, handmade, flowers, dove, painted, doves, item, artist, very, only, colorful, mexico, holiday, decor, floral, hacienda, christmas, bird, 5in, 3in, 1in, works, together, talented, artists",118,140,"artisan, handmade, stunning, happiness, happy, easy, crafted, village, family",TRUE,TRUE,FALSE,1,Holiday Decor & Ornaments,Basic Item,,
B00014W14I,NOVICA Artisan Handcrafted Reverse Painted Glass Wall Mirror Andean Metallic Blue Glasswood Peru Decor Mirrors Floral [13.75in W x 15.25in H] ' Garden Gold',24,99,8,1,TRUE,TRUE,"artisans, novica, world, glass, reverse, painted, happy, handmade, item, what, works, artisan, wall, mirror, customers, create, better, time, where, love, visit, store, decorative, asunta, pelaez, andean, peru, mirrors, floral, mission",245,354,"happy, handmade, artisan, create, better, love, mission, happiness, dream, unique, traditional, quality, handcrafted, improve, impact",TRUE,TRUE,TRUE,3,Mirrors,Basic Item,5,1
B0752FN2TJ,NOVICA Artisan Handcrafted Men's Sterling Silver Ring Band No Stone Indonesia [0.6 in W] ' Water',16,41,7,0,FALSE,FALSE,"sterling, silver, novica, ring, talented, putu, gede, darmawan, artisan, handcrafted, men, band, stone, indonesia, water, works, together, artists, artisans, designers, around, world, produce, stunning, keepsake, handmade, treasures, mantra, spread, happiness",89,99,"artisan, handcrafted, stunning, handmade, happiness, happy, inspired, crafted, passionate, love, create, traditional, hope, support, family",TRUE,FALSE,FALSE,1,Jewelry,Child,5,1
